MoviesName,Stars_1,Stars_2,Stars_3,Stars_4,Votes,Genre_1,Genre_2,Genre_3,Gross,Certification,Popularity
The Dark Knight,Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine,"2,717,521",Action,Crime,Drama,534.86,12A,117
The Lord of the Rings: The Return of the King,Elijah Wood,Viggo Mortensen,Ian McKellen,Orlando Bloom,"1,886,645",Action,Adventure,Drama,377.85,12A,407
Inception,Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page,Ken Watanabe,"2,412,332",Action,Adventure,Sci-Fi,292.58,12A,103
The Lord of the Rings: The Fellowship of the Ring,Elijah Wood,Ian McKellen,Orlando Bloom,Sean Bean,"1,915,355",Action,Adventure,Drama,315.54,PG,184
The Lord of the Rings: The Two Towers,Elijah Wood,Ian McKellen,Viggo Mortensen,Orlando Bloom,"1,702,927",Action,Adventure,Drama,342.55,12A,788
The Matrix,Keanu Reeve,Laurence Fishburne,Carrie-Anne Moss,Hugo Weaving,"1,957,307",Action,Sci-Fi,nan,171.48,15,201
Star Wars: Episode V - The Empire Strikes Back,Mark Hamill,Harrison Ford,Carrie Fisher,Billy Dee Williams,"1,320,777",Action,Adventure,Fantasy,290.48,U,603
Soorarai Pottru,uriy,Paresh Rawal,Aparna Balamurali,Urvashi,"119,469",Action,Drama,nan,nan,15,nan
Star Wars: Episode IV - A New Hope,Mark Hamill,Harrison Ford,Carrie Fisher,Alec Guinness,"1,393,243",Action,Adventure,Fantasy,322.74,U,245
Terminator 2: Judgment Day,Arnold Schwarzenegge,Linda Hamilton,Edward Furlong,Robert Patrick,"1,122,770",Action,Sci-Fi,nan,204.84,15,473
Seven Samurai,Toshirô Mifune,Takashi Shimura,Keiko Tsushima,Yukiko Shimazaki,"352,753",Action,Drama,nan,0.27,A,"1,508"
Harakiri,Tatsuya Nakadai,Akira Ishihama,Shima Iwashita,Tetsurô Tanba,"60,943",Action,Drama,Mystery,nan,X,"3,285"
